条件①,条件②,条件③,編成ボーナス名,攻撃,防御,体力,無双,気力,速度
典韋,許褚,-,覇道の守護者,0,100,50,0,0,0
曹丕,甄姫,-,鳳凰于飛,100,0,0,0,50,0
曹丕,曹休,-,兄弟の如く,0,50,0,0,100,0
曹操,荀彧,-,我が子房,100,0,0,50,0,0
夏侯惇,曹操,-,共に立つ者,100,0,50,0,0,0
夏侯淵,張郃,-,華麗なる武,0,0,100,50,0,0
荀彧,荀攸,-,荀一族,50,0,0,0,100,0
楽進,李典,-,一番槍の予感,0,0,100,50,0,0
賈詡,郭嘉,-,軽妙酒脱,0,50,0,100,0,0
蔡文姫,于禁,-,詩興、胸中に満ち,0,50,0,0,100,0
曹仁,満寵,-,不破の城,50,0,100,0,0,0
龐徳,于禁,-,正道を往く,0,100,50,0,0,0
周瑜,孫策,-,断金の交わり,100,0,0,0,50,0
甘寧,凌統,-,因果は巡る,100,0,0,0,50,0
小喬,大喬,-,二喬,0,50,100,0,0,0
陸遜,朱然,-,火計に命を,0,50,0,100,0,0
孫尚香,練師,-,美麗の主従,0,0,50,0,100,0
孫堅,黄蓋,-,旧知の仲,100,0,0,0,50,0
韓当,程普,-,臣下の矜持,0,50,0,100,0,0
周泰,孫権,-,守るべき主,0,0,100,0,50,0
呂蒙,魯粛,-,刮目の子弟,0,100,50,0,0,0
丁奉,徐盛,-,故郷を想う,0,100,50,0,0,0
太史慈,孫策,-,信義の絆,50,100,0,0,0,0
諸葛亮,劉備,-,水魚の交わり,0,50,0,0,100,0
馬超,馬岱,-,馬一族,0,50,0,0,100,0
劉禅,星彩,-,蜀を担う,0,50,100,0,0,0
関平,周倉,-,軍神に焦がれる,100,50,0,0,0,0
関索,鮑三娘,-,出会いに花咲く,0,0,50,100,0,0
関興,張苞,-,義兄弟の契り,100,0,0,50,0,0
黄忠,魏延,-,元劉表軍,0,0,0,50,100,0
諸葛亮,月英,-,臥龍とその伴侶,0,0,0,100,50,0
張飛,夏侯姫,-,愛縁機縁,0,0,50,100,0,0
姜維,劉禅,-,仁徳の継承者,100,0,0,0,50,0
関羽,関銀屏,-,父娘の絆,100,50,0,0,0,0
龐統,徐庶,-,同門のよしみ,50,0,100,0,0,0
劉備,法正,-,恩義に報いる,0,50,100,0,0,0
司馬懿,張春華,-,恐るべき好配,0,100,0,50,0,0
司馬師,司馬昭,-,司馬兄弟,50,0,0,0,100,0
司馬昭,賈充,-,光と影,50,100,0,0,0,0
夏侯覇,郭淮,-,名将への思慕,0,0,100,0,50,0
司馬師,諸葛誕,-,信頼と尊敬,100,0,0,50,0,0
王元姫,辛憲英,-,活眼と慧眼,0,0,100,50,0,0
司馬懿,鄧艾,-,惹かれあう才,100,50,0,0,0,0
董卓,董白,-,董一族,0,0,50,100,0,0
貂蝉,呂布,-,鬼神と舞姫,50,0,0,100,0,0
袁紹,袁術,-,名門の威光,50,0,100,0,0,0
孟獲,祝融,-,南中の傑物,0,50,0,0,100,0
呂布,陳宮,-,運命を共に,100,50,0,0,0,0
呂布,呂玲綺,-,最強の系譜,100,0,0,50,0,0
董白,華雄,-,静かな酒宴,50,0,0,100,0,0
張角,左慈,-,幻惑の術師,50,0,100,0,0,0
姜維,鍾会,-,二心あり,50,0,0,0,100,0
王異,馬超,-,深紅の因縁,0,0,0,100,50,0
趙雲,文鴦,-,誠心誠意,0,50,0,100,0,0
夏侯惇,曹操,夏侯淵,覇道のはじまり,50,0,100,50,0,0
黄蓋,韓当,程普,呉古参,50,0,0,50,100,0
関羽,張飛,劉備,桃園の誓い,50,0,100,0,50,0
諸葛亮,龐統,徐庶,水鏡,0,50,50,0,100,0
夏侯惇,張遼,関羽,関羽千里行,100,0,50,0,50,0
趙雲,劉備,-,仁の龍となりて,0,0,0,50,100,0
曹操,陳宮,-,野心燃ゆ,100,0,0,0,50,0
孫権,練師,-,支えあう好配,0,100,0,0,50,0
孫尚香,孫策,孫権,猛き虎の牙たち,50,50,0,0,100,0
孫策,大喬,-,比翼の鳥,50,100,0,0,0,0
王異,曹休,-,月夜の渇き,0,0,0,100,50,0
甄姫,蔡文姫,辛憲英,希望の詩,0,100,50,50,0,0
劉備,魏延,-,信頼と信服,100,0,0,0,50,0
夏侯淵,郭淮,-,命を懸けて,0,0,50,100,0,0
張春華,祝融,-,内助の功,0,50,100,0,0,0
周倉,張角,-,太平道の教え,50,0,0,100,0,0
貂蝉,董卓,-,埋伏の毒,50,0,0,100,0,0
陸遜,諸葛亮,-,三分の原点へ,0,100,0,50,0,0
周瑜,魯粛,程普,美禄に論ず,50,50,0,100,0,0
孫策,袁術,-,蜜よりも甘く,100,0,0,0,50,0
丁奉,練師,-,美しき風景,0,50,100,0,0,0
曹操,郭嘉,-,大業成就の夢,0,0,50,100,0,0
関羽,鮑三娘,-,義理となりせば,0,50,100,0,0,0
凌統,孫権,-,江東を渡る風,50,0,0,0,100,0
鄧艾,鍾会,-,蜀討伐の雄,50,0,0,0,100,0
夏侯惇,李典,-,逃げ切り危機一髪,100,50,0,0,0,0
郭淮,賈充,-,蒼白の炎,50,0,0,100,0,0
于禁,満寵,-,動じぬ心,0,50,100,0,0,0
満寵,孫権,-,因縁の攻防,0,50,0,0,100,0
姜維,徐庶,鍾会,母を思えば,100,50,50,0,0,0
魏延,法正,-,蜀への誘い,100,0,0,50,0,0
大喬,月英,張春華,良妻の矜持,0,0,100,50,50,0
典韋,丁奉,華雄,そびえたつ巨漢,50,100,50,0,0,0
王異,郭嘉,-,大人の付き合い,0,0,0,50,100,0
鮑三娘,周倉,-,猛追、千里を越えて,50,0,0,100,0,0
荀攸,貂蝉,-,世を憂う同志,0,50,100,0,0,0
司馬昭,王元姫,-,責任の所在,0,0,50,0,100,0
王元姫,張春華,-,秘伝の肉まん,0,0,100,50,0,0
司馬師,司馬昭,王元姫,天命を巡る,100,0,0,50,50,0
王元姫,鍾会,辛憲英,英才を評する,0,0,100,50,50,0
許褚,司馬師,鄧艾,健啖家,100,50,0,0,50,0
劉備,左慈,-,仁の世を目指して,0,100,50,0,0,0
張遼,呂玲綺,-,同じ背を追う者,100,0,0,0,50,0
関羽,呂布,-,赤兎馬の主,100,50,0,0,0,0
張遼,呂布,陳宮,最強の旗の下に,100,0,50,50,0,0
王異,呂玲綺,-,孤高の花,0,0,0,100,50,0
関平,関索,関興,関兄弟,100,0,50,50,0,0
許褚,関銀屏,-,優しき怪力,50,0,100,0,0,0
郭嘉,陸遜,関索,蝶を誘う花,0,0,50,100,50,0
許褚,馬超,-,潼関の死闘,0,100,0,0,50,0
孫尚香,関銀屏,呂玲綺,父を思えば,0,0,50,50,100,0
趙雲,馬超,-,闘志貫いて,0,0,0,100,50,0
孫権,朱然,-,机を並べて,100,50,0,0,0,0
周瑜,朱然,徐盛,大逆転の立役者,100,0,50,50,0,0
甘寧,韓当,-,派手と地味,0,0,0,50,100,0
小喬,朱然,-,小さな太陽,0,0,50,100,0,0
甘寧,黄蓋,-,裸一貫,50,0,0,0,100,0
楽進,于禁,-,官渡の勇戦,0,0,100,0,50,0
曹仁,文鴦,-,堅き鎧に身を包み,100,50,0,0,0,0
曹仁,魯粛,-,人望篤く,0,50,100,0,0,0
張遼,楽進,李典,合肥の名将,50,0,100,0,50,0
曹丕,李典,周瑜,薄命の輝き,100,0,50,0,50,0
曹仁,李典,徐庶,八門金鎖の死闘,100,50,50,0,0,0
甘寧,周泰,-,大河を往く,0,0,0,100,50,0
周瑜,小喬,-,連理の枝,0,50,0,0,100,0
孫堅,董卓,袁術,漢室の臣,50,100,50,0,0,0
孫堅,孫策,孫権,猛き虎たち,100,50,0,0,50,0
周泰,朱然,徐盛,濡須塢の宴,0,50,50,100,0,0
夏侯淵,黄忠,-,漢中の激闘,0,0,50,100,0,0
劉禅,司馬昭,-,新しき世の鼎,100,0,0,0,50,0
関平,星彩,-,幼馴染,0,50,100,0,0,0
星彩,張苞,-,若き双星,0,50,100,0,0,0
孫尚香,太史慈,黄忠,神弓,0,0,50,100,50,0
星彩,鮑三娘,関銀屏,次代に咲く,0,100,50,50,0,0
満寵,司馬懿,-,完璧な罠,0,0,0,100,50,0
諸葛誕,文鴦,-,寿春の抵抗,100,0,0,50,0,0
諸葛亮,諸葛誕,-,龍と狗,0,100,0,50,0,0
曹丕,司馬懿,-,創世の誓い,50,0,0,100,0,0
司馬懿,鍾会,賈充,主あれども,0,50,50,0,100,0
姜維,夏侯覇,-,北伐に燃ゆ,0,0,100,0,50,0
徐晃,張郃,-,左将軍右将軍,0,0,0,50,100,0
賈詡,荀攸,-,奇抜な友誼,0,100,0,50,0,0
徐晃,曹仁,-,樊城の守将,100,0,50,0,0,0
徐晃,関羽,-,乱世の友好,100,0,0,0,50,0
曹丕,賈詡,-,蒼天の下に,50,0,0,100,0,0
張郃,貂蝉,-,絶美なる舞,0,0,50,100,0,0
甘寧,呂蒙,凌統,軸と両輪,50,0,50,0,100,0
太史慈,徐盛,-,漢気溢れて,100,50,0,0,0,0
曹仁,呂蒙,-,やんちゃな過去,0,50,100,0,0,0
陸遜,呂蒙,朱然,志の系譜,0,50,50,100,0,0
魏延,馬岱,-,ここにいるよ,50,0,0,0,100,0
龐徳,馬超,馬岱,西涼を駆ける,0,100,50,50,0,0
夏侯姫,夏侯覇,-,似た者いとこ,0,50,100,0,0,0
馬岱,賈充,-,闇に閃く,0,50,0,0,100,0
夏侯淵,孫堅,張飛,豪放磊落なる父,0,0,50,100,50,0
龐統,法正,-,知を燃やし尽くして,100,0,0,50,0,0
徐庶,法正,-,本音を語る仲,100,0,50,0,0,0
張郃,甄姫,袁紹,官渡の美,100,0,50,50,0,0
典韋,黄蓋,孟獲,鋼の肉体,0,50,100,0,50,0
曹操,袁紹,-,中原に覇を唱え,0,0,50,100,0,0
司馬懿,郭淮,孟獲,強き妻を想う,50,50,0,100,0,0
袁紹,左慈,袁術,口ひげに一家言,50,0,100,50,0,0